pubmed_ids,drugbank_id,uniprot_id
15217834,DB00087,P08637
17139284,DB00092,P08637
17016423,DB00092,P08637
11970990,DB00092,P08637
12795239,DB00092,P08637
17139284,DB00095,P08637
17016423,DB00095,P08637
17139284,DB00108,P08637
17016423,DB00108,P08637
17139284,DB00110,P08637
17016423,DB00110,P08637
17139284,DB00111,P08637
17016423,DB00111,P08637
17139284,DB00112,P08637
17016423,DB00112,P08637
17139284,DB00002,P09871
17016423,DB00002,P09871
17139284,DB00005,P09871
17016423,DB00005,P09871
17139284,DB00051,P09871
17016423,DB00051,P09871
17139284,DB00054,P09871
17016423,DB00054,P09871
17139284,DB00056,P09871
17016423,DB00056,P09871
17139284,DB00072,P09871
17016423,DB00072,P09871
17139284,DB00073,P09871
17016423,DB00073,P09871
17139284,DB00074,P09871
17016423,DB00074,P09871
17139284,DB00075,P09871
17016423,DB00075,P09871
17139284,DB00078,P09871
17016423,DB00078,P09871
17139284,DB02371,P09871
17016423,DB02371,P09871
7547242,DB00002,P12314
17139284,DB00005,P12314
17016423,DB00005,P12314
17911465,DB00028,P12314
20441428,DB00028,P12314
17351760,DB00028,P12314
17139284,DB00051,P12314
17016423,DB00051,P12314
17139284,DB00054,P12314
17016423,DB00054,P12314
7509291,DB00056,P12314
17139284,DB00072,P12314
17016423,DB00072,P12314
9435876,DB00072,P12314
17139284,DB00073,P12314
17016423,DB00073,P12314
17139284,DB00074,P12314
17016423,DB00074,P12314
17139284,DB00075,P12314
17016423,DB00075,P12314
17139284,DB00078,P12314
17016423,DB00078,P12314
17139284,DB00081,P12314
17016423,DB00081,P12314
17139284,DB00087,P12314
17016423,DB00087,P12314
17139284,DB00092,P12314
17016423,DB00092,P12314
17139284,DB00095,P12314
17016423,DB00095,P12314
17139284,DB00108,P12314
17016423,DB00108,P12314
17139284,DB00110,P12314
17016423,DB00110,P12314
1828823,DB00111,P12314
17139284,DB00112,P12314
17016423,DB00112,P12314
2544592,DB00707,P12314
17139284,DB00992,P12314
17016423,DB00992,P12314
17139284,DB00002,P12318
17016423,DB00002,P12318
17704420,DB00002,P12318
15457442,DB00005,P12318
15526004,DB00005,P12318
17911465,DB00028,P12318
20441428,DB00028,P12318
17351760,DB00028,P12318
17139284,DB00051,P12318
17016423,DB00051,P12318
17139284,DB00054,P12318
17016423,DB00054,P12318
17139284,DB00056,P12318
17016423,DB00056,P12318
17139284,DB00072,P12318
17016423,DB00072,P12318
17704420,DB00072,P12318
17324336,DB00073,P12318
16609067,DB00073,P12318
17139284,DB00074,P12318
17016423,DB00074,P12318
17139284,DB00075,P12318
17016423,DB00075,P12318
17139284,DB00078,P12318
17016423,DB00078,P12318
17139284,DB00081,P12318
17016423,DB00081,P12318
15217834,DB00087,P12318
17139284,DB00092,P12318
17016423,DB00092,P12318
17139284,DB00095,P12318
17016423,DB00095,P12318
17139284,DB00108,P12318
17016423,DB00108,P12318
17139284,DB00110,P12318
17016423,DB00110,P12318
17139284,DB00111,P12318
17016423,DB00111,P12318
17139284,DB00112,P12318
17016423,DB00112,P12318
17139284,DB00002,P31994
17016423,DB00002,P31994
17139284,DB00005,P31994
17016423,DB00005,P31994
17911465,DB00028,P31994
20441428,DB00028,P31994
17351760,DB00028,P31994
17139284,DB00051,P31994
17016423,DB00051,P31994
17139284,DB00054,P31994
17016423,DB00054,P31994
17139284,DB00056,P31994
17016423,DB00056,P31994
17139284,DB00072,P31994
17016423,DB00072,P31994
17139284,DB00073,P31994
17016423,DB00073,P31994
17139284,DB00074,P31994
17016423,DB00074,P31994
17139284,DB00075,P31994
17016423,DB00075,P31994
17139284,DB00078,P31994
17016423,DB00078,P31994
17139284,DB00081,P31994
17016423,DB00081,P31994
17139284,DB00087,P31994
17016423,DB00087,P31994
17139284,DB00092,P31994
17016423,DB00092,P31994
17139284,DB00095,P31994
17016423,DB00095,P31994
12586600,DB00098,P31994
17139284,DB00108,P31994
17016423,DB00108,P31994
17139284,DB00110,P31994
17016423,DB00110,P31994
17139284,DB00111,P31994
17016423,DB00111,P31994
17139284,DB00112,P31994
17016423,DB00112,P31994
17139284,DB00002,P31995
17016423,DB00002,P31995
10800083,DB00005,P31995
7535196,DB00005,P31995
17911465,DB00028,P31995
20441428,DB00028,P31995
17351760,DB00028,P31995
17139284,DB00051,P31995
17016423,DB00051,P31995
17139284,DB00054,P31995
17016423,DB00054,P31995
17139284,DB00056,P31995
17016423,DB00056,P31995
17139284,DB00072,P31995
17016423,DB00072,P31995
17139284,DB00073,P31995
17016423,DB00073,P31995
17139284,DB00074,P31995
17016423,DB00074,P31995
17139284,DB00075,P31995
17016423,DB00075,P31995
17139284,DB00078,P31995
17016423,DB00078,P31995
17139284,DB00081,P31995
17016423,DB00081,P31995
17139284,DB00087,P31995
17016423,DB00087,P31995
17139284,DB00092,P31995
17016423,DB00092,P31995
17139284,DB00095,P31995
17016423,DB00095,P31995
17139284,DB00108,P31995
17016423,DB00108,P31995
17139284,DB00110,P31995
17016423,DB00110,P31995
17139284,DB00111,P31995
17016423,DB00111,P31995
17139284,DB00112,P31995
17016423,DB00112,P31995
17139284,DB00004,P01589
17016423,DB00004,P01589
2786749,DB00004,P01589
3124610,DB00004,P01589
18684057,DB00004,P01589
17187516,DB00004,P01589
11752352,DB00004,P01589
17216565,DB00041,P01589
16767920,DB00041,P01589
17530023,DB00041,P01589
17584597,DB00041,P01589
16864089,DB00041,P01589
11752352,DB00041,P01589
10207608,DB00041,P01589
12591363,DB00074,P01589
9695721,DB00074,P01589
16908318,DB00074,P01589
10512062,DB00074,P01589
10567956,DB00074,P01589
11752352,DB00074,P01589
16304857,DB00111,P01589
10607689,DB00111,P01589
16908318,DB00111,P01589
8600944,DB00111,P01589
17564638,DB00111,P01589
19788505,DB00111,P01589
11752352,DB00111,P01589
15811959,DB00004,P14784
16516670,DB00004,P14784
18684057,DB00004,P14784
17187516,DB00004,P14784
11752352,DB00004,P14784
16477002,DB00041,P14784
16542139,DB00041,P14784
16569767,DB00041,P14784
16596189,DB00041,P14784
16617454,DB00041,P14784
11752352,DB00041,P14784
10188761,DB00074,P14784
10708100,DB00074,P14784
11840795,DB00074,P14784
12667677,DB00074,P14784
12826150,DB00074,P14784
11752352,DB00074,P14784
12372041,DB00111,P14784
15022409,DB00111,P14784
15814281,DB00111,P14784
2571203,DB00111,P14784
2647626,DB00111,P14784
11752352,DB00111,P14784
15811959,DB00004,P31785
16516670,DB00004,P31785
11707860,DB00004,P31785
16477002,DB00041,P31785
17598841,DB00041,P31785
17635814,DB00041,P31785
17083048,DB00041,P31785
17363735,DB00041,P31785
10206649,DB00005,P01375
10338381,DB00005,P01375
10357816,DB00005,P01375
10375846,DB00005,P01375
10405518,DB00005,P01375
11752352,DB00005,P01375
12044041,DB00051,P01375
14532145,DB00051,P01375
15022409,DB00051,P01375
15046527,DB00051,P01375
15200343,DB00051,P01375
11752352,DB00051,P01375
11752352,DB00065,P01375
17642244,DB00065,P01375
16052578,DB00065,P01375
16456024,DB00065,P01375
15674127,DB00065,P01375
16622728,DB00065,P01375
12110154,DB00065,P01375
15481318,DB00065,P01375
15691217,DB00065,P01375
15691299,DB00065,P01375
15804598,DB00065,P01375
16418198,DB00608,P01375
16670522,DB00608,P01375
16761500,DB00608,P01375
16870179,DB00608,P01375
17456179,DB00608,P01375
8609227,DB00668,P01375
24365491,DB00852,P01375
21631396,DB00852,P01375
12046682,DB01041,P01375
12102294,DB01041,P01375
12105857,DB01041,P01375
12113124,DB01041,P01375
12167383,DB01041,P01375
11752352,DB01041,P01375
8755512,DB01041,P01375
12244074,DB01296,P01375
15930455,DB01296,P01375
16431966,DB01296,P01375
16445576,DB01296,P01375
16469053,DB01296,P01375
10071758,DB01407,P01375
11193379,DB01407,P01375
15021963,DB01407,P01375
16261833,DB01407,P01375
17139543,DB01407,P01375
12801315,DB01411,P01375
12801316,DB01411,P01375
17430359,DB01411,P01375
10075051,DB01427,P01375
10444479,DB01427,P01375
11805217,DB01427,P01375
11969359,DB01427,P01375
1611705,DB01427,P01375
10829362,DB04956,P01375
21079302,DB06674,P01375
23620660,DB08904,P01375
22917017,DB08910,P01375
11752352,DB00005,P20333
11302411,DB00005,P01374
1328224,DB00005,P01374
15005015,DB00005,P01374
15033655,DB00005,P01374
15695296,DB00005,P01374
17931716,DB00005,P35354
16303916,DB00005,P35354
15644490,DB00035,P35354
10823885,DB00041,P35354
18209082,DB00041,P35354
16190133,DB00154,P35354
11939906,DB00154,P35354
15990700,DB00154,P35354
11121413,DB00154,P35354
12562875,DB00159,P35354
12573452,DB00159,P35354
16141635,DB00159,P35354
16190133,DB00159,P35354
17459764,DB00159,P35354
20463020,DB00159,P35354
14742690,DB00233,P35354
12463455,DB00233,P35354
16855178,DB00233,P35354
12208114,DB00233,P35354
9256165,DB00233,P35354
14742690,DB00244,P35354
12463455,DB00244,P35354
16855178,DB00244,P35354
12208114,DB00244,P35354
9256165,DB00244,P35354
19515014,DB00250,P35354
11752352,DB00316,P35354
17175104,DB00316,P35354
17884974,DB00316,P35354
17322116,DB00316,P35354
15770365,DB00328,P35354
15667901,DB00328,P35354
15668944,DB00328,P35354
15831440,DB00328,P35354
15730717,DB00328,P35354
17560944,DB00360,P35354
11153163,DB00461,P35354
11304699,DB00461,P35354
12047490,DB00461,P35354
15456329,DB00461,P35354
7615202,DB00461,P35354
11752352,DB00461,P35354
12110513,DB00465,P35354
12446609,DB00465,P35354
14568028,DB00465,P35354
14568029,DB00465,P35354
15102535,DB00465,P35354
11563332,DB00469,P35354
9152412,DB00469,P35354
15943176,DB00469,P35354
16245223,DB00469,P35354
15756931,DB00469,P35354
11752352,DB00469,P35354
15598423,DB00480,P35354
12720152,DB00480,P35354
12055598,DB00482,P35354
12086292,DB00482,P35354
12086402,DB00482,P35354
12093311,DB00482,P35354
12104042,DB00482,P35354
11752352,DB00482,P35354
15458776,DB00500,P35354
9253954,DB00500,P35354
17391279,DB00500,P35354
14613550,DB00500,P35354
10465690,DB00500,P35354
11752352,DB00500,P35354
21272267,DB00515,P35354
10555907,DB00533,P35354
10566562,DB00533,P35354
10580458,DB00533,P35354
10643177,DB00533,P35354
10693877,DB00533,P35354
11752352,DB00533,P35354
20724158,DB00533,P35354
18922570,DB00533,P35354
20166930,DB00533,P35354
11398914,DB00533,P35354
10381057,DB00554,P35354
11785774,DB00554,P35354
11153163,DB00554,P35354
11952155,DB00554,P35354
15464832,DB00554,P35354
11752352,DB00554,P35354
17050798,DB00573,P35354
10715145,DB00580,P35354
11060833,DB00580,P35354
12167567,DB00580,P35354
12564662,DB00580,P35354
12644588,DB00580,P35354
11752352,DB00580,P35354
15494548,DB00580,P35354
12534640,DB00586,P35354
12588370,DB00586,P35354
12705061,DB00586,P35354
12852704,DB00586,P35354
12925531,DB00586,P35354
10372826,DB00605,P35354
10485483,DB00605,P35354
10657949,DB00605,P35354
11078056,DB00605,P35354
11118042,DB00605,P35354
19951121,DB00620,P35354
10091674,DB00712,P35354
10977131,DB00712,P35354
11006278,DB00712,P35354
11405284,DB00712,P35354
10773011,DB00712,P35354
17562170,DB00712,P35354
19066416,DB00712,P35354
16861295,DB00720,P35354
12824918,DB00749,P35354
11275997,DB00749,P35354
11752352,DB00749,P35354
10594327,DB00749,P35354
11009046,DB00749,P35354
15198222,DB00749,P35354
3006680,DB00773,P35354
7832763,DB00784,P35354
17150210,DB00784,P35354
15792781,DB00784,P35354
9626023,DB00784,P35354
10393680,DB00784,P35354
11752352,DB00784,P35354
17607546,DB00788,P35354
17604186,DB00788,P35354
17521299,DB00788,P35354
17612049,DB00788,P35354
17532719,DB00788,P35354
11752352,DB00788,P35354
14742690,DB00795,P35354
12463455,DB00795,P35354
16855178,DB00795,P35354
12208114,DB00795,P35354
9256165,DB00795,P35354
12213119,DB00812,P35354
15489888,DB00812,P35354
15939622,DB00812,P35354
11752352,DB00812,P35354
10220944,DB00814,P35354
10340919,DB00814,P35354
10381057,DB00814,P35354
10381787,DB00814,P35354
10567199,DB00814,P35354
11752352,DB00814,P35354
10895904,DB00821,P35354
11703020,DB00821,P35354
15198222,DB00821,P35354
15939622,DB00821,P35354
17181139,DB00821,P35354
11752352,DB00821,P35354
15242808,DB00856,P35354
12852483,DB00861,P35354
10825891,DB00861,P35354
11673972,DB00861,P35354
11315375,DB00861,P35354
8737748,DB00861,P35354
11752352,DB00861,P35354
17139284,DB00870,P35354
17016423,DB00870,P35354
11885959,DB00870,P35354
20738860,DB00884,P35354
10974021,DB00887,P35354
15035793,DB00936,P35354
15070163,DB00936,P35354
15106733,DB00936,P35354
15199473,DB00936,P35354
15348270,DB00936,P35354
5284360,DB00936,P35354
10639181,DB00939,P35354
12409963,DB00939,P35354
15198222,DB00939,P35354
16290292,DB00939,P35354
7825862,DB00939,P35354
17033106,DB00945,P35354
17037745,DB00945,P35354
17181859,DB00945,P35354
17258197,DB00945,P35354
17301265,DB00945,P35354
11752352,DB00945,P35354
16846546,DB00963,P35354
16982289,DB00963,P35354
12016548,DB00963,P35354
19668566,DB00963,P35354
17024689,DB00991,P35354
9650852,DB00991,P35354
9831331,DB00991,P35354
12065695,DB00991,P35354
19952416,DB00991,P35354
19338579,DB00991,P35354
10895904,DB01009,P35354
11729362,DB01009,P35354
11814865,DB01009,P35354
14513718,DB01009,P35354
15198222,DB01009,P35354
11752352,DB01009,P35354
17139284,DB01014,P35354
17016423,DB01014,P35354
19743890,DB01014,P35354
17981262,DB01014,P35354
12950415,DB01014,P35354
12710892,DB01041,P35354
15446566,DB01041,P35354
15598423,DB01041,P35354
15892618,DB01041,P35354
15982930,DB01041,P35354
21507989,DB01041,P35354
19515014,DB01041,P35354
12852704,DB01050,P35354
14510637,DB01050,P35354
15481334,DB01050,P35354
15494133,DB01050,P35354
15556152,DB01050,P35354
11752352,DB01050,P35354
22668799,DB01050,P35354
14552704,DB01283,P35354
14965322,DB01283,P35354
15017615,DB01283,P35354
15177307,DB01283,P35354
15655513,DB01283,P35354
11752352,DB01283,P35354
20063991,DB01395,P35354
15035793,DB01397,P35354
15070163,DB01397,P35354
15106733,DB01397,P35354
15199473,DB01397,P35354
15348270,DB01397,P35354
15199473,DB01398,P35354
17259377,DB01398,P35354
15035793,DB01398,P35354
15070163,DB01398,P35354
15106733,DB01398,P35354
9711054,DB01399,P35354
12901032,DB01399,P35354
16808554,DB01399,P35354
10452868,DB01399,P35354
14680616,DB01401,P35354
17033106,DB01401,P35354
17037745,DB01401,P35354
17181859,DB01401,P35354
17258197,DB01401,P35354
15753395,DB01404,P35354
15778128,DB01404,P35354
17436372,DB01404,P35354
17607546,DB01419,P35354
