"Dataset","Number of the triple","Time"
"ddidpi","720000","17.807448863983154"
"ddidpi","730000","17.982471466064453"
"ddidpi","740000","18.15847134590149"
"ddidpi","750000","18.333468914031982"
"ddidpi","760000","18.510459661483765"
"ddidpi","770000","18.685466766357422"
"ddidpi","780000","18.86546564102173"
"ddidpi","790000","19.043455600738525"
"ddidpi","800000","19.217463731765747"
"ddidpi","810000","19.39046287536621"
"ddidpi","820000","19.56646180152893"
"ddidpi","830000","19.740453720092773"
"ddidpi","840000","19.916460514068604"
"ddidpi","850000","20.08850932121277"
"ddidpi","860000","20.261449575424194"
"ddidpi","870000","20.43744683265686"
"ddidpi","880000","20.609456062316895"
"ddidpi","890000","20.782452821731567"
"ddidpi","900000","20.96045160293579"
"ddidpi","910000","21.134450435638428"
"ddidpi","920000","21.30744218826294"
"ddidpi","930000","21.497447967529297"
"ddidpi","940000","21.669440507888794"
"ddidpi","950000","21.844448566436768"
"ddidpi","960000","22.020444869995117"
"ddidpi","970000","22.197498083114624"
"ddidpi","980000","22.371435403823853"
"ddidpi","990000","22.546441793441772"
"ddidpi","1000000","22.721432209014893"
"ddidpi","1010000","22.89543867111206"
"ddidpi","1020000","23.07142972946167"
"ddidpi","1030000","23.24950671195984"
"ddidpi","1040000","23.42642855644226"
"ddidpi","1050000","23.602434396743774"
"ddidpi","1060000","23.77643394470215"
"ddidpi","1070000","23.95542573928833"
"ddidpi","1080000","24.136425018310547"
"ddidpi","1090000","24.31342887878418"
"ddidpi","1100000","24.488447189331055"
"ddidpi","1110000","24.663503646850586"
"ddidpi","1120000","24.837451219558716"
"ddidpi","1130000","25.011450052261353"
"ddidpi","1140000","25.183449268341064"
"ddidpi","1150000","25.35543990135193"
"ddidpi","1160000","25.529446601867676"
"ddidpi","1170000","25.71344542503357"
"ddidpi","1180000","25.890446424484253"
"ddidpi","1190000","26.066434383392334"
"ddidpi","1200000","26.24244213104248"
"ddidpi","1210000","26.41844129562378"
"ddidpi","1220000","26.591439485549927"
"ddidpi","1230000","26.773430109024048"
"ddidpi","1240000","26.94844365119934"
"ddidpi","1250000","27.127429246902466"
"ddidpi","1260000","27.31842589378357"
"ddidpi","1270000","27.49743413925171"
"ddidpi","1280000","27.670970678329468"
"ddidpi","1290000","27.850532293319702"
"ddidpi","1300000","28.023582220077515"
"ddidpi","1310000","28.19558048248291"
"ddidpi","1320000","28.368570566177368"
"ddidpi","1330000","28.542577743530273"
"ddidpi","1340000","28.71562933921814"
"ddidpi","1350000","28.89057755470276"
"ddidpi","1360000","29.063568592071533"
"ddidpi","1370000","29.240630865097046"
"ddidpi","1380000","29.41357421875"
"ddidpi","1390000","29.58857250213623"
"ddidpi","1400000","29.763570547103882"
"ddidpi","1410000","29.938562631607056"
"ddidpi","1420000","30.11255955696106"
"ddidpi","1430000","30.28955888748169"
"ddidpi","1440000","30.486557006835938"
"ddidpi","1450000","30.671557426452637"
"ddidpi","1460000","30.84862756729126"
"ddidpi","1470000","31.019631147384644"
"ddidpi","1480000","31.188570261001587"
"ddidpi","1490000","31.35956048965454"
"ddidpi","1500000","31.53056240081787"
"ddidpi","1510000","31.70256996154785"
"ddidpi","1520000","31.878559350967407"
"ddidpi","1530000","32.05362248420715"
"ddidpi","1540000","32.223557472229004"
"ddidpi","1550000","32.39556384086609"
"ddidpi","1560000","32.572561740875244"
"ddidpi","1570000","32.747560024261475"
"ddidpi","1580000","32.91463279724121"
"ddidpi","1590000","33.08463191986084"
"ddidpi","1600000","33.260631799697876"
"ddidpi","1610000","33.432631492614746"
"ddidpi","1620000","33.60962200164795"
"ddidpi","1630000","33.78262901306152"
"ddidpi","1640000","33.95363521575928"
